STABBR,UNITID,CITY,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
PA,215114,Langhorne,19047-2990,0.9855,757.0,26493.0,
PA,215123,Philadelphia,19131,,,,
PA,215132,Philadelphia,19104-4495,0.6076,1268.0,39994.0,
PA,215239,Philadelphia,19130-3991,,16012.0,5142.0,
PA,215266,Bradford,16701,0.5436,1296.0,13900.0,
PA,215275,Greensburg,15601-5860,0.7327,1521.0,13870.0,
PA,215284,Johnstown,15904,0.7598,2776.0,13876.0,
PA,215293,Pittsburgh,15260,0.5971,19134.0,19080.0,
PA,215309,Titusville,16354,0.6311,292.0,11788.0,
PA,215336,Beaver Falls,15010-4208,,36.0,,
PA,215381,West Mifflin,15122,,409.0,20945.0,
PA,215390,Pittsburgh,15206-3706,0.8058,209.0,,
PA,215415,Oakdale,15071,,1739.0,16817.0,
PA,215424,Pittsburgh,15206-2596,,,,
PA,215442,Pittsburgh,15222-1984,0.6486,3230.0,30130.0,
PA,215479,Pottsville,17901,,63.0,,
PA,215530,Altoona,16601-2419,,69.0,,
PA,215585,Reading,19602,,3506.0,5460.0,
PA,215594,Reading,19611,0.2679,288.0,10095.0,
PA,215619,Wyncote,19095-1898,,,,
PA,215628,Pittsburgh,15208-2594,,,,
PA,215637,Philadelphia,19104,0.9737,334.0,23550.0,
PA,215646,Broomall,19008,,339.0,,
PA,215655,Moon Township,15108-1189,0.8332,4213.0,29420.0,
PA,215682,Pittsburgh,15205-9791,,372.0,13380.0,
PA,215691,Rosemont,19010-1699,0.6961,609.0,19486.0,
PA,215743,Loretto,15940,0.7574,1676.0,35066.0,
PA,215770,Philadelphia,19131-1395,0.7718,5040.0,43880.0,
PA,215798,Latrobe,15650-2690,0.6193,1616.0,34430.0,
PA,215813,Latrobe,15650-2690,,,,
PA,215886,Frackville,17931,,35.0,,
PA,215929,Scranton,18510-4699,0.7479,3695.0,43310.0,
PA,215947,Greensburg,15601,0.7465,1659.0,34660.0,
PA,215974,Pittsburgh,15232,1.0,244.0,15315.0,
PA,215983,Sharon,16146,,12.0,24745.0,
PA,215992,Sharon,16146,0.8776,176.0,9914.0,
PA,216010,Shippensburg,17257-2299,0.8355,5464.0,12086.0,
PA,216038,Slippery Rock,16057-1383,0.7149,7539.0,10205.0,
PA,216047,Wynnewood,19096,1.0,75.0,20655.0,
PA,216074,Pittsburgh,15216,,144.0,,
PA,216083,State College,16801-4516,0.9931,414.0,16608.0,
PA,216162,Bethlehem,18015,,198.0,,
PA,216223,Stroudsburg,18360-1720,,27.0,,
PA,216278,Selinsgrove,17870-1025,0.6953,2283.0,45470.0,
PA,216287,Swarthmore,19081,0.107,1565.0,50822.0,
PA,216296,Lancaster,17602-3198,0.8893,1139.0,7830.0,
PA,216311,Philadelphia,19131,0.8444,114.0,8900.0,
PA,216339,Philadelphia,19122-6096,0.5667,29007.0,16658.0,
PA,216348,Blue Bell,19422-1257,,,,
PA,216357,Greenville,16125-2181,0.6287,736.0,30830.0,
PA,216366,Philadelphia,19107,,731.0,,
PA,216418,Erie,16506-1013,,391.0,13157.0,
PA,216427,Erie,16502-2594,,61.0,16408.0,
PA,216436,Pittsburgh,15214-3897,,144.0,16640.0,
PA,216445,Greensburg,15601-3304,,121.0,16594.0,
PA,216454,Falls Creek,15840-3333,,143.0,16646.0,
PA,216463,Ambridge,15003-2397,,,,
PA,216524,Collegeville,19426-1000,0.7821,1485.0,50360.0,
PA,216542,Phoenixville,19460-2373,0.5412,669.0,21370.0,
PA,216551,Wayne,19087-3695,,265.0,29975.0,
PA,216579,Sharon Hill,19079,,112.0,,
PA,216597,Villanova,19085-1699,0.36,6886.0,51284.0,
PA,216630,Washington,15301,,49.0,,
PA,216649,Washington,15301,,13.0,11600.0,
PA,216667,Washington,15301,0.4785,1378.0,46628.0,
PA,216694,Waynesburg,15370-1257,0.9534,1371.0,24010.0,
PA,216746,Allentown,18109-3253,,72.0,,
PA,216764,West Chester,19383,0.685,14223.0,10111.0,
PA,216773,Pittsburgh,15224,0.5769,107.0,9255.0,
PA,216782,Pittsburgh,15219-1907,,197.0,24919.0,
PA,216807,New Wilmington,16172,0.7248,1174.0,36276.0,
PA,216816,Glenside,19038,,,,
PA,216825,Youngwood,15697-1895,,4047.0,5190.0,
PA,216852,Chester,19013-5792,0.6543,3224.0,44166.0,
PA,216931,Wilkes-Barre,18766,0.7531,2379.0,34896.0,
PA,217013,Chambersburg,17201-1285,0.5877,697.0,24452.0,
PA,217040,Scranton,18505-2196,0.9167,34.0,9200.0,
PA,217059,York,17403-3651,0.699,4079.0,19430.0,
PA,217077,York,17402,,1165.0,,
PA,246071,Scranton,18508,,72.0,,
PA,248624,Uniontown,15401,,90.0,,
PA,248633,Chambersburg,17202,,88.0,,
PA,249609,Forty Fort,18704-2936,,159.0,15787.0,
PA,250027,Uniontown,15401,0.8559,237.0,9914.0,
PA,250285,Philadelphia,19114-1018,,274.0,16757.0,
PA,251075,Harrisburg,17111,,178.0,,
PA,260363,Waynesburg,15370-8281,,25.0,,
PA,261861,Mount Braddock,15465,,78.0,13170.0,
PA,365383,Wilkes Barre,18705-0699,,110.0,,
PA,366252,Williamsport,17701-5799,,5419.0,16350.0,
PA,366632,Mercer,16137,,31.0,,
PA,367431,New Castle,16101,,17.0,,
PA,368407,Canonsburg,15317,0.76,106.0,,
PA,369668,Pleasant Gap,16823,,255.0,,
PA,375939,Altoona,16602,,172.0,,
PA,375966,Willow Grove,19090,0.8,59.0,,
PA,375984,Philadelphia,19102-2701,,317.0,,
PA,383367,Altoona,16602-3616,,234.0,,
PA,385503,Scranton,18509-2903,,287.0,27246.0,
PA,406413,Monaca,15061,,39.0,,
PA,406422,Lewisburg,17837,0.9733,101.0,,
PA,407629,Erie,16509-1025,,,,
PA,408729,MEADVILLE,16335,0.7792,96.0,9914.0,
PA,414540,Philadelphia,19147,,268.0,,
PA,414911,Johnstown,15904-2949,,1014.0,5670.0,
PA,415039,Hanover,17331,,59.0,,
PA,417840,Philadelphia,19152,,83.0,,
